INFO:backend.api.v1.tts:已加载0条TTS历史记录
INFO:     Started server process [91451]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     127.0.0.1:51202 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 186.84秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 188.87秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 190.90秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 192.91秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 194.94秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 196.98秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 199.03秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 201.09秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 203.15秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 205.18秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 207.21秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 209.22秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 211.25秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 213.29秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 215.34秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 217.35秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 219.36秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 221.36秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 223.38秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:MegaTTS3命令执行完成
INFO:backend.api.v1.tts:检查输出目录: /home/hoey/桌面/PARROT-master/storage/outputs
INFO:backend.api.v1.tts:输出目录中的所有文件: ['49e598b6-889d-4d8c-84d6-7e10153767a5.wav', '31c28530-82fe-4f26-bdb5-d7d537bbc11a.wav', '[P]测试123.wav', 'f68fc43a-a62c-4906-8dad-038d8b2e42ca.wav', '0827086e-1147-4876-a54b-1cc77586fe83.wav']
INFO:backend.api.v1.tts:删除原始文件: /home/hoey/桌面/PARROT-master/storage/outputs/[P]测试123.wav
INFO:backend.api.v1.tts:TTS生成成功，任务ID: 4f8a0bc0-4872-4370-8530-f89d177cafea, 处理时间: 233.47秒
INFO:backend.api.v1.tts:资源使用: CPU从13.7%上升到40.4%, 内存从60.2%上升到47.2%
INFO:backend.api.v1.tts:任务成功完成: {"task_id": "4f8a0bc0-4872-4370-8530-f89d177cafea", "status": "completed", "processing_time": 233.4720380306244, "error": null}
INFO:backend.api.v1.tts:已保存1条TTS历史记录
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [91451]
